
화난 표정       angry face
화장하다        applying makeup
흥분한 표정     aroused face
오만한 표정     arrogant face
자비로운 표정   benevolent face
지루한 표정     boring face
해맑은 표정     bright face
매혹한 표정     charmed face
혼란한 표정     confused face
미친 표정       crazy face
우는 표정       crying face
희망한 표정     desired face
절망한 표정     despair face
단호한 표정     determined face
실망한 표정     disappointed face
괴로운 표정     distressed face
취한 표정       drunk face
간절한 표정     earnest face
느긋한 표정     easygoing face

황홀한 표정     ecstasy face
당황한 표정     embarrassed face
부러운 표정     envious face
사악한 표정     evil face
무표정한 표정   expression face
질겁한 표정     frightened face
좌절한 표정     frustrated face
상냥한 표정     gentle face
들뜬 표정       giddy face
암울한 표정     gloomy face
기쁜 표정       happy face
생각한 표정     idea face
짜증난 표정     irritating face
즐거운 표정     joyful face
한탄한 표정     lamented face
가벼운 표정     light face
외로운 표정     lonely face
비참한 표정     miserable face
초조한 표정     nervous face

분노한 표정     outraged face
창백한 표정     pale face
한심한 표정     pathetic face
잘난 척한 표정  pretentious face
신성한 표정     sacred face
슬픈 표정       sad face
무서운 표정     scary face
비웃는 표정     scoffing face
경멸한 표정     scornful face
유혹한 표정     seduced face
심각한 표정     serious face
부끄러운 표정   shameful face
졸린 표정       sleepy face
웃는 표정       smiling face
애달픈 표정     sorrowful face
억눌린 표정     suppressed face
놀란 표정       surprised face
의심한 표정     suspicious face
울먹이는 표정   tearful face
피곤한 표정     tired face
감동한 표정     touched face
붉히다 표정     turn red face
억울한 표정     unfair face
불행한 표정     unfortunate face
불안한 표정     unstable face
속상한 표정     upset face
억지로 표정     with distaste face
걱정한 표정     worried face
