

귀걸이      , (Earrings)
반지        , (Ring)
팔찌        , (Bracelet)
시계        , (Watch)
선글라스    , (Sunglasses)
헤어밴드    , (Headband)
헤어핀      , (Hairpin)
넥타이      , (Necktie)
브로치      , (Brooch)
스카프      , (Scarf)
벨트        , (Belt)
양말        , (Socks)
핸드백      , (Handbag)
지갑        , (Wallet)
모자        , (Hat)
패션 스타킹 , (Fashion Stockings)
바렛        , (Barrette)

목걸이 사슬 , (Necklace Chain)
헤어 클립   , (Hair Clip)
바디 체인   , (Body Chain)
머플러      , (Cute Muffler)
베이스볼 캡 , (Baseball Cap)
브레이스릿  , (Bracelet)
앵클렛      , (Anklet)
시계 스트랩 , (Watch Strap)
피어싱      , (Piercing Jewelry)
몸체인      , (Body Chain)
네일아트    , (Nail Art Decorations)
썬글래스    , (Sunglasses Chain)
